SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp9,rgrp6,tot_tvst
,inp,0,cnt,1,2017,0,0,,,0
,inp,0,cnt,1,2018,,0,,,0
,inp,0,cnt,0,2013,0.0429042904,0.0333333333,0,,0.0762376238
,inp,0,cnt,0,2014,0.0384615385,0,0,0.2083333333,0.0384615385
,inp,0,cnt,0,2015,0.0416666667,0.0333333333,0,,0.075
,inp,0,cnt,0,2016,0.0952380952,0,0,0,0.0952380952
,inp,0,cnt,0,2017,0.0344827586,0.0833333333,0,0,0.117816092
,inp,0,cnt,0,2018,0.0648148148,0,0.0833333333,,0.2314814815
,inp,0,cost,1,2013,82.490075758,1736.78,,,1819.2700758
,inp,0,cost,1,2014,703.04377778,,,,703.04377778
,inp,0,cost,1,2015,,0,,,0
,inp,0,cost,1,2016,0,0,,,0
,inp,0,cost,1,2017,0,0,,,0
,inp,0,cost,1,2018,,0,,,0
,inp,0,cost,0,2013,1525.9330198,83.333333333,0,,1609.2663531
,inp,0,cost,0,2014,1722.0490242,0,0,970.11166667,1722.0490242
,inp,0,cost,0,2015,411.35895833,227.37,0,,638.72895833
,inp,0,cost,0,2016,6309.4877381,0,0,0,6309.4877381
,inp,0,cost,0,2017,1707.9364368,3505.6141667,0,0,5213.5506034
,inp,0,cost,0,2018,17.844907407,0,537.88166667,,1093.6082407
,inp,1,cnt,1,2013,0.053030303,0.5,,,0.553030303
,inp,1,cnt,1,2014,0.1,,,,0.1
,inp,1,cnt,1,2015,,0,,,0
,inp,1,cnt,1,2016,0.0833333333,0,,,0.0833333333
,inp,1,cnt,1,2017,0.1111111111,0,,,0.1111111111
,inp,1,cnt,1,2018,,0,,,0
,inp,1,cnt,0,2013,0.0594059406,0,0.1666666667,,0.2260726073
,inp,1,cnt,0,2014,0.0306267806,0,0,0.0833333333,0.0306267806
,inp,1,cnt,0,2015,0.0625,0.0333333333,0,,0.0958333333
,inp,1,cnt,0,2016,0.0476190476,0,0,0,0.0476190476
,inp,1,cnt,0,2017,0.0402298851,0.0277777778,0,0,0.0680076628
,inp,1,cnt,0,2018,0.0648148148,0,0.1666666667,,0.3981481481
,inp,1,cost,1,2013,191.82378788,1392.7983333,,,1584.6221212
,inp,1,cost,1,2014,419.94211111,,,,419.94211111
,inp,1,cost,1,2015,,0,,,0
,inp,1,cost,1,2016,15.156666667,0,,,15.156666667
,inp,1,cost,1,2017,1046.005,0,,,1046.005
,inp,1,cost,1,2018,,0,,,0
,inp,1,cost,0,2013,856.12869637,0,4497.23,,5353.3586964
,inp,1,cost,0,2014,284.00928063,0,0,483.00708333,284.00928063
,inp,1,cost,0,2015,4.5325,232.789,0,,237.3215
,inp,1,cost,0,2016,272.16630952,0,0,0,272.16630952
,inp,1,cost,0,2017,1812.7308046,110.52138889,0,0,1923.2521935
,inp,1,cost,0,2018,8.0358333333,0,369.3475,,746.73083333
