SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp6,tot_tvst
Travis SDA,all,-1,nclient,1,2015,591.0,330.0,19.0,1000.0
Travis SDA,all,-1,nclient,1,2016,594.0,410.0,,1099.0
Travis SDA,all,-1,nclient,1,2017,310.0,444.0,,822.0
Travis SDA,all,-1,nclient,1,2018,490.0,344.0,,888.0
Travis SDA,all,-1,nclient,0,2013,2657.0,1473.0,,4708.0
Travis SDA,all,-1,nclient,0,2014,2449.0,1294.0,,4262.0
Travis SDA,all,-1,nclient,0,2015,4412.0,5629.0,22.0,12255.0
Travis SDA,all,-1,nclient,0,2016,5284.0,8359.0,10.0,16536.0
Travis SDA,all,-1,nclient,0,2017,4936.0,9255.0,20.0,16792.0
Travis SDA,all,-1,nclient,0,2018,5616.0,10742.0,38.0,20013.0
,ed,1,cnt,1,2013,0.2121212121,,,0.3787878788
,ed,1,cnt,1,2014,0.1444444444,,,0.1444444444
,ed,1,cnt,1,2015,,,,0.0
,ed,1,cnt,1,2016,,,,0.0
,ed,1,cnt,1,2017,,,,0.3333333333
,ed,1,cnt,1,2018,,,,0.0
,ed,1,cnt,0,2013,0.1864686469,,,0.5531353135
,ed,1,cnt,0,2014,0.1495726496,,,0.1495726496
,ed,1,cnt,0,2015,0.1458333333,,,0.3125
,ed,1,cnt,0,2016,0.130952381,0.0277777778,,0.1587301587
,ed,1,cnt,0,2017,0.0804597701,0.0555555556,,0.1360153257
,ed,1,cnt,0,2018,0.0833333333,,,0.5833333333
,ed,1,cost,1,2013,94.848257123,,,113.13825677
,ed,1,cost,1,2014,48.647667101,,,48.647667101
,ed,1,cost,1,2015,,,,0.0
,ed,1,cost,1,2016,,,,0.0
,ed,1,cost,1,2017,,,,219.99833849
,ed,1,cost,1,2018,,,,0.0
,ed,1,cost,0,2013,82.358135324,,,221.0201384
,ed,1,cost,0,2014,88.940399456,,,88.940399456
,ed,1,cost,0,2015,33.065832456,,,80.368830554
,ed,1,cost,0,2016,113.29738217,2.889166726,,116.1865489
,ed,1,cost,0,2017,62.24074857,48.204443614,,110.44519218
,ed,1,cost,0,2018,4.3994445514,,,333.76943967
,inp,1,cnt,1,2013,0.0454545455,,,0.3787878788
,inp,1,cnt,1,2014,0.1,,,0.1
,inp,1,cnt,1,2015,,,,0.0
,inp,1,cnt,1,2016,,,,0.0
,inp,1,cnt,1,2017,,,,0.1111111111
,inp,1,cnt,1,2018,,,,0.0
,inp,1,cnt,0,2013,0.0627062706,,,0.2293729373
,inp,1,cnt,0,2014,0.0306267806,,,0.0306267806
,inp,1,cnt,0,2015,0.0416666667,,,0.075
,inp,1,cnt,0,2016,0.0476190476,0.0,,0.0476190476
,inp,1,cnt,0,2017,0.0402298851,0.0277777778,,0.0680076628
,inp,1,cnt,0,2018,0.0555555556,,,0.3888888889
,inp,1,cost,1,2013,191.82378566,,,1584.6221255
,inp,1,cost,1,2014,415.17421604,,,415.17421604
,inp,1,cost,1,2015,,,,0.0
,inp,1,cost,1,2016,,,,15.156667074
,inp,1,cost,1,2017,,,,1046.0049913
,inp,1,cost,1,2018,,,,0.0
,inp,1,cost,0,2013,851.18662868,,,5348.4167719
,inp,1,cost,0,2014,283.85886509,,,283.85886509
,inp,1,cost,0,2015,4.5324999491,,,237.32149734
,inp,1,cost,0,2016,250.06631604,0.0,,250.06631604
,inp,1,cost,0,2017,1811.2310991,110.52138943,,1921.7524885
,inp,1,cost,0,2018,8.0358331822,,,746.73084051
,med,0,cost,1,2013,521.9318161,,,2593.6884893
,med,0,cost,1,2014,844.96287693,,,844.96287693
,med,0,cost,1,2015,,,,21.291666667
,med,0,cost,1,2016,,,,97.607222451
,med,0,cost,1,2017,,,,421.31777106
,med,0,cost,1,2018,,,,409.3100179
,med,0,cost,0,2013,2245.492237,,,2636.3682363
,med,0,cost,0,2014,2550.247312,,,2990.9881465
,med,0,cost,0,2015,683.64667923,,,1059.6035578
,med,0,cost,0,2016,6842.4421416,199.47028012,,7070.7307556
,med,0,cost,0,2017,2892.5786274,3704.5218633,,7174.4321583
,med,0,cost,0,2018,178.68185153,,,2496.8992893
,med,1,cost,1,2013,650.42324661,,,2279.4665409
,med,1,cost,1,2014,686.96066204,,,686.96066204
,med,1,cost,1,2015,,,,122.131663
,med,1,cost,1,2016,,,,282.15417141
,med,1,cost,1,2017,,,,1622.3349609
,med,1,cost,1,2018,,,,168.67666626
,med,1,cost,0,2013,1672.1982818,,,6648.047944
,med,1,cost,0,2014,1151.8593961,,,1334.0044042
,med,1,cost,0,2015,276.76520729,,,654.66821169
,med,1,cost,0,2016,1550.8723556,102.35333369,,1667.3965229
,med,1,cost,0,2017,2404.490056,310.68527222,,2862.1186597
,med,1,cost,0,2018,66.935647894,,,1996.8148193
,out,1,cnt,1,2013,3.0075757576,,,5.6742424242
,out,1,cnt,1,2014,1.8111111111,,,1.8111111111
,out,1,cnt,1,2015,,,,0.6666666667
,out,1,cnt,1,2016,,,,2.3611111111
,out,1,cnt,1,2017,,,,3.3333333333
,out,1,cnt,1,2018,,,,3.3333333333
,out,1,cnt,0,2013,2.7062706271,,,4.6396039604
,out,1,cnt,0,2014,3.3076923077,,,3.891025641
,out,1,cnt,0,2015,0.7083333333,,,1.6527777778
,out,1,cnt,0,2016,2.8452380952,1.5833333333,,4.8452380952
,out,1,cnt,0,2017,1.7011494253,1.9166666667,,5.117816092
,out,1,cnt,0,2018,1.2037037037,,,6.9537037037
,out,1,cost,1,2013,458.59946644,,,811.95115101
,out,1,cost,1,2014,276.6025586,,,276.6025586
,out,1,cost,1,2015,,,,122.131663
,out,1,cost,1,2016,,,,266.99750434
,out,1,cost,1,2017,,,,576.33001031
,out,1,cost,1,2018,,,,168.67666626
,out,1,cost,0,2013,821.99053063,,,1300.6102073
,out,1,cost,0,2014,868.00052483,,,1050.1455329
,out,1,cost,0,2015,272.23270734,,,417.34670621
,out,1,cost,0,2016,1300.8060628,102.35333369,,1417.3302301
,out,1,cost,0,2017,593.25902464,206.88971837,,947.09207442
,out,1,cost,0,2018,58.89981457,,,1250.0839583
Bexar SDA,ed,1,cnt,1,2013,0.2955801105,0.099756691,,0.7286701348
